ticket_date,team,priority,ticket_type,agent,resolution_hours,csat_score,reopened
2025-01-04,Billing,High,Refund,Riya,6.5,4.2,No
2025-01-06,Technical,Critical,Login Error,Arjun,12.0,3.8,Yes
2025-01-09,Onboarding,Medium,Setup Help,Maya,2.0,4.7,No
2025-01-13,Technical,High,API Timeout,Arjun,18.0,3.6,Yes
2025-01-17,Billing,Low,Invoice Copy,Riya,1.5,4.9,No
2025-01-20,Technical,Medium,Bug Report,Leo,7.0,4.1,No
2025-01-25,Onboarding,Low,How-To,Sam,1.2,4.8,No
2025-02-01,Technical,Critical,Data Sync Failure,Leo,72.0,2.1,Yes
2025-02-05,Billing,High,Charge Dispute,Riya,9.5,3.9,No
2025-02-10,Onboarding,Medium,Import Issue,Maya,3.8,4.4,No
2025-02-14,Technical,High,Webhook Error,Arjun,15.0,3.5,Yes
2025-02-18,Billing,Medium,Plan Change,Riya,4.0,4.3,No
